Number,Variables
1,activity
2,subject
3,t_body_acc_mean_x
4,t_body_acc_mean_y
5,t_body_acc_mean_z
6,t_gravity_acc_mean_x
7,t_gravity_acc_mean_y
8,t_gravity_acc_mean_z
9,t_body_acc_jerk_mean_x
10,t_body_acc_jerk_mean_y
11,t_body_acc_jerk_mean_z
12,t_body_gyro_mean_x
13,t_body_gyro_mean_y
14,t_body_gyro_mean_z
15,t_body_gyro_jerk_mean_x
16,t_body_gyro_jerk_mean_y
17,t_body_gyro_jerk_mean_z
18,t_body_acc_mag_mean
19,t_gravity_acc_mag_mean
20,t_body_acc_jerk_mag_mean
21,t_body_gyro_mag_mean
22,t_body_gyro_jerk_mag_mean
23,f_body_acc_mean_x
24,f_body_acc_mean_y
25,f_body_acc_mean_z
26,f_body_acc_mean_freq_x
27,f_body_acc_mean_freq_y
28,f_body_acc_mean_freq_z
29,f_body_acc_jerk_mean_x
30,f_body_acc_jerk_mean_y
31,f_body_acc_jerk_mean_z
32,f_body_acc_jerk_mean_freq_x
33,f_body_acc_jerk_mean_freq_y
34,f_body_acc_jerk_mean_freq_z
35,f_body_gyro_mean_x
36,f_body_gyro_mean_y
37,f_body_gyro_mean_z
38,f_body_gyro_mean_freq_x
39,f_body_gyro_mean_freq_y
40,f_body_gyro_mean_freq_z
41,f_body_acc_mag_mean
42,f_body_acc_mag_mean_freq
43,f_body_body_acc_jerk_mag_mean
44,f_body_body_acc_jerk_mag_mean_freq
45,f_body_body_gyro_mag_mean
46,f_body_body_gyro_mag_mean_freq
47,f_body_body_gyro_jerk_mag_mean
48,f_body_body_gyro_jerk_mag_mean_freq
49,angle_t_body_acc_mean_gravity
50,angle_t_body_acc_jerk_mean_gravity_mean
51,angle_t_body_gyro_mean_gravity_mean
52,angle_t_body_gyro_jerk_mean_gravity_mean
53,angle_x_gravity_mean
54,angle_y_gravity_mean
55,angle_z_gravity_mean
56,t_body_acc_std_x
57,t_body_acc_std_y
58,t_body_acc_std_z
59,t_gravity_acc_std_x
60,t_gravity_acc_std_y
61,t_gravity_acc_std_z
62,t_body_acc_jerk_std_x
63,t_body_acc_jerk_std_y
64,t_body_acc_jerk_std_z
65,t_body_gyro_std_x
66,t_body_gyro_std_y
67,t_body_gyro_std_z
68,t_body_gyro_jerk_std_x
69,t_body_gyro_jerk_std_y
70,t_body_gyro_jerk_std_z
71,t_body_acc_mag_std
72,t_gravity_acc_mag_std
73,t_body_acc_jerk_mag_std
74,t_body_gyro_mag_std
75,t_body_gyro_jerk_mag_std
76,f_body_acc_std_x
77,f_body_acc_std_y
78,f_body_acc_std_z
79,f_body_acc_jerk_std_x
80,f_body_acc_jerk_std_y
81,f_body_acc_jerk_std_z
82,f_body_gyro_std_x
83,f_body_gyro_std_y
84,f_body_gyro_std_z
85,f_body_acc_mag_std
86,f_body_body_acc_jerk_mag_std
87,f_body_body_gyro_mag_std
88,f_body_body_gyro_jerk_mag_std
